index,na_x,na_y
0,0.000000,0.000000
1,0.059000,0.000000
2,0.000000,0.059000
3,0.000000,-0.059000
4,-0.059000,0.000000
5,-0.059000,0.059000
6,-0.059000,-0.059000
7,0.059000,0.059000
8,0.059000,-0.059000
9,0.117000,0.000000
10,0.000000,0.117000
11,-0.117000,0.000000
12,0.000000,-0.117000
13,0.117000,-0.058000
14,0.058000,0.117000
15,0.058000,-0.117000
16,0.117000,0.058000
17,-0.117000,0.058000
18,-0.117000,-0.058000
19,-0.058000,-0.117000
20,-0.058000,0.117000
21,-0.116000,-0.116000
22,-0.116000,0.116000
23,0.116000,0.116000
24,0.116000,-0.116000
25,-0.174000,0.000000
26,0.000000,-0.174000
27,0.000000,0.174000
28,0.174000,0.000000
29,0.058000,0.173000
30,0.173000,0.058000
31,-0.058000,0.173000
32,-0.058000,-0.173000
33,-0.173000,-0.058000
34,0.058000,-0.173000
35,0.173000,-0.058000
36,-0.173000,0.058000
37,-0.115000,0.173000
38,-0.173000,-0.115000
39,0.173000,-0.115000
40,0.115000,0.173000
41,0.173000,0.115000
42,-0.115000,-0.173000
43,-0.173000,0.115000
44,0.115000,-0.173000
45,0.000000,-0.229000
46,0.229000,0.000000
47,-0.229000,0.000000
48,0.000000,0.229000
49,0.228000,-0.057000
50,0.228000,0.057000
51,-0.057000,0.228000
52,0.057000,-0.228000
53,-0.228000,0.057000
54,-0.228000,-0.057000
55,0.057000,0.228000
56,-0.057000,-0.228000
57,0.171000,-0.171000
58,-0.171000,0.171000
59,-0.171000,-0.171000
60,0.171000,0.171000
61,0.227000,-0.114000
62,-0.114000,-0.227000
63,0.227000,0.114000
64,0.114000,-0.227000
65,0.114000,0.227000
66,-0.227000,0.114000
67,-0.114000,0.227000
68,-0.227000,-0.114000
69,0.282000,0.000000
70,0.000000,0.282000
71,0.000000,-0.282000
72,-0.282000,0.000000
73,0.169000,-0.226000
74,-0.226000,-0.169000
75,0.169000,0.226000
76,0.226000,-0.169000
77,-0.169000,0.226000
78,0.226000,0.169000
79,-0.226000,0.169000
80,-0.169000,-0.226000
81,0.056000,-0.282000
82,-0.282000,0.056000
83,-0.056000,0.282000
84,0.282000,-0.056000
85,0.056000,0.282000
86,0.282000,0.056000
87,-0.056000,-0.282000
88,-0.282000,-0.056000
89,0.280000,-0.112000
90,-0.112000,0.280000
91,-0.112000,-0.280000
92,-0.280000,0.112000
93,0.280000,0.112000
94,0.112000,0.280000
95,0.112000,-0.280000
96,-0.280000,-0.112000
97,-0.223000,-0.223000
98,0.223000,0.223000
99,0.223000,-0.223000
100,-0.223000,0.223000
101,0.278000,0.167000
102,-0.167000,0.278000
103,-0.278000,0.167000
104,-0.278000,-0.167000
105,0.167000,0.278000
106,0.278000,-0.167000
107,0.167000,-0.278000
108,-0.167000,-0.278000
109,-0.333000,0.000000
110,0.000000,-0.333000
111,0.000000,0.333000
112,0.333000,0.000000
113,0.332000,0.055000
114,0.055000,-0.332000
115,-0.332000,-0.055000
116,0.055000,0.332000
117,-0.055000,-0.332000
118,-0.055000,0.332000
119,0.332000,-0.055000
120,-0.332000,0.055000
121,0.110000,0.331000
122,-0.331000,0.110000
123,0.331000,-0.110000
124,0.331000,0.110000
125,-0.331000,-0.110000
126,0.110000,-0.331000
127,-0.110000,-0.331000
128,-0.110000,0.331000
129,-0.220000,-0.275000
130,0.275000,0.220000
131,-0.275000,-0.220000
132,-0.220000,0.275000
133,0.220000,0.275000
134,0.275000,-0.220000
135,0.220000,-0.275000
136,-0.275000,0.220000
137,0.328000,0.164000
138,0.328000,-0.164000
139,-0.328000,0.164000
140,-0.164000,-0.328000
141,-0.328000,-0.164000
142,0.164000,-0.328000
143,0.164000,0.328000
144,-0.164000,0.328000
145,0.380000,0.000000
146,-0.380000,0.000000
147,0.000000,0.380000
148,0.000000,-0.380000
149,0.271000,-0.271000
150,0.271000,0.271000
151,-0.271000,0.271000
152,-0.271000,-0.271000
153,0.380000,-0.054000
154,0.380000,0.054000
155,-0.380000,-0.054000
156,-0.054000,-0.380000
157,0.054000,0.380000
158,-0.380000,0.054000
159,-0.054000,0.380000
160,0.054000,-0.380000
161,0.325000,-0.216000
162,-0.216000,-0.325000
163,-0.325000,0.216000
164,0.216000,0.325000
165,0.325000,0.216000
166,-0.325000,-0.216000
167,0.216000,-0.325000
168,-0.216000,0.325000
169,0.108000,0.378000
170,0.108000,-0.378000
171,-0.108000,0.378000
172,0.378000,0.108000
173,-0.378000,0.108000
174,-0.108000,-0.378000
175,0.378000,-0.108000
176,-0.378000,-0.108000
177,-0.402000,-0.029000
178,-0.402000,0.029000
179,-0.029000,0.402000
180,-0.029000,-0.402000
181,0.402000,0.029000
182,0.029000,-0.402000
183,0.029000,0.402000
184,0.402000,-0.029000
185,0.161000,0.376000
186,-0.161000,0.376000
187,0.376000,0.161000
188,0.376000,-0.161000
189,0.161000,-0.376000
190,-0.376000,-0.161000
191,-0.376000,0.161000
192,-0.161000,-0.376000
193,0.086000,-0.400000
194,-0.400000,0.086000
195,0.400000,0.086000
196,-0.400000,-0.086000
197,-0.086000,0.400000
198,0.086000,0.400000
199,-0.086000,-0.400000
200,0.400000,-0.086000
201,-0.321000,-0.267000
202,0.267000,-0.321000
203,-0.321000,0.267000
204,0.321000,-0.267000
205,-0.267000,-0.321000
206,-0.267000,0.321000
207,0.267000,0.321000
208,0.321000,0.267000
209,0.398000,-0.142000
210,0.398000,0.142000
211,0.142000,0.398000
212,-0.398000,-0.142000
213,-0.142000,0.398000
214,0.142000,-0.398000
215,-0.398000,0.142000
216,-0.142000,-0.398000
217,0.212000,0.372000
218,0.372000,-0.212000
219,-0.212000,-0.372000
220,0.212000,-0.372000
221,-0.372000,-0.212000
222,-0.372000,0.212000
223,-0.212000,0.372000
224,0.372000,0.212000
225,-0.394000,-0.197000
226,0.197000,0.394000
227,0.197000,-0.394000
228,0.394000,-0.197000
229,0.394000,0.197000
