In powershell
$env:SQUID_TIMING_REPORT=1
python main_hcs.py

run_single_time_point: (N=1, total=22.1707 [s]): mean=22.1707 [s], median=22.1707 [s], min/max=22.1707/22.1707 [s]
    run_coordinate_acquisition: (N=1, total=22.0776 [s]): mean=22.0776 [s], median=22.0776 [s], min/max=22.0776/22.0776 [s]
           acquire_at_position: (N=27, total=14.0540 [s]): mean=0.5205 [s], median=0.4898 [s], min/max=0.4623/1.0678 [s]
            laser_af_seed_scan: (N=1, total=13.0912 [s]): mean=13.0912 [s], median=13.0912 [s], min/max=13.0912/13.0912 [s]
          acquire_camera_image: (N=81, total=12.8118 [s]): mean=0.1582 [s], median=0.1099 [s], min/max=0.0989/0.2926 [s]
    acquire_camera_image_inner: (N=81, total=12.8115 [s]): mean=0.1582 [s], median=0.1099 [s], min/max=0.0989/0.2926 [s]
exposure_time_done_sleep_hw or wait_for_image_sw: (N=81, total=9.0110 [s]): mean=0.1112 [s], median=0.0685 [s], min/max=0.0361/0.2221 [s]
           wait:trigger_to_sdk: (N=81, total=8.8767 [s]): mean=0.1096 [s], median=0.0657 [s], min/max=0.0357/0.2177 [s]
            move_to_coordinate: (N=27, total=6.4976 [s]): mean=0.2407 [s], median=0.2082 [s], min/max=0.1989/0.8278 [s]
                 af:seed_event: (N=27, total=5.6829 [s]): mean=0.2105 [s], median=0.1598 [s], min/max=0.1056/0.3778 [s]
                  send_trigger: (N=81, total=1.7657 [s]): mean=0.0218 [s], median=0.0204 [s], min/max=0.0108/0.0978 [s]
init:prewarm_observation_states: (N=1, total=1.5132 [s]): mean=1.5132 [s], median=1.5132 [s], min/max=1.5132/1.5132 [s]
 turn_off_capture_illumination: (N=81, total=0.9878 [s]): mean=0.0122 [s], median=0.0118 [s], min/max=0.0037/0.0711 [s]
             perform_autofocus: (N=27, total=0.8747 [s]): mean=0.0324 [s], median=0.0000 [s], min/max=0.0000/0.4070 [s]
        illuminate_for_capture: (N=81, total=0.8148 [s]): mean=0.0101 [s], median=0.0092 [s], min/max=0.0035/0.0447 [s]
apply_shutter_state_to_hardware: (N=81, total=0.8136 [s]): mean=0.0100 [s], median=0.0092 [s], min/max=0.0035/0.0447 [s]
                    af:refresh: (N=3, total=0.7497 [s]): mean=0.2499 [s], median=0.1737 [s], min/max=0.1691/0.4069 [s]
             af:move_to_target: (N=3, total=0.7479 [s]): mean=0.2493 [s], median=0.1729 [s], min/max=0.1685/0.4065 [s]
               _image_callback: (N=81, total=0.6467 [s]): mean=0.0080 [s], median=0.0103 [s], min/max=0.0001/0.0332 [s]
        image_to_display*.emit: (N=81, total=0.6378 [s]): mean=0.0079 [s], median=0.0102 [s], min/max=0.0000/0.0331 [s]
                     af:move_z: (N=3, total=0.4843 [s]): mean=0.1614 [s], median=0.0977 [s], min/max=0.0875/0.2990 [s]
       apply_observation_state: (N=81, total=0.3001 [s]): mean=0.0037 [s], median=0.0036 [s], min/max=0.0004/0.0085 [s]
apply_observation_state_to_hardware: (N=81, total=0.2995 [s]): mean=0.0037 [s], median=0.0036 [s], min/max=0.0004/0.0085 [s]
       af:measure_displacement: (N=6, total=0.2394 [s]): mean=0.0399 [s], median=0.0431 [s], min/max=0.0287/0.0455 [s]
           illumination_settle: (N=81, total=0.2138 [s]): mean=0.0026 [s], median=0.0022 [s], min/max=0.0011/0.0317 [s]
obs:preset:cs_set_exposure_time: (N=81, total=0.1896 [s]): mean=0.0023 [s], median=0.0032 [s], min/max=0.0000/0.0042 [s]
         af:spot_centroid_loop: (N=9, total=0.1589 [s]): mean=0.0177 [s], median=0.0174 [s], min/max=0.0157/0.0212 [s]
      af:verify_spot_alignment: (N=3, total=0.1451 [s]): mean=0.0484 [s], median=0.0426 [s], min/max=0.0410/0.0616 [s]
            wait:event_to_wake: (N=81, total=0.1332 [s]): mean=0.0016 [s], median=0.0005 [s], min/max=0.0004/0.0117 [s]
             af:last_fov_check: (N=3, total=0.1245 [s]): mean=0.0415 [s], median=0.0444 [s], min/max=0.0346/0.0455 [s]
           af:turn_on_AF_laser: (N=9, total=0.1181 [s]): mean=0.0131 [s], median=0.0128 [s], min/max=0.0075/0.0294 [s]
          af:turn_off_AF_laser: (N=9, total=0.1003 [s]): mean=0.0111 [s], median=0.0133 [s], min/max=0.0044/0.0150 [s]
af:spot_centroid_loop:get_frame: (N=27, total=0.0949 [s]): mean=0.0035 [s], median=0.0012 [s], min/max=0.0010/0.0113 [s]
              af:get_new_frame: (N=27, total=0.0947 [s]): mean=0.0035 [s], median=0.0012 [s], min/max=0.0010/0.0112 [s]
          create_new_timepoint: (N=1, total=0.0831 [s]): mean=0.0831 [s], median=0.0831 [s], min/max=0.0831/0.0831 [s]
